,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
44,0,1.8448275862068968,0,0.05,1.0,1.5,-0.6030814523035143,0.055,-0.6134913696763462,0.034,0.00039771,0.165,0.182,-0.5067256166956899,-0.502155932994157,-0.8014062324830619,-0.8045384433546846,-0.5019579677919525,-0.5183177849481958
44,10,1.8448275862068968,10,0.05,1.0,1.5,-0.6173308343785469,0.045,-0.6100562089460151,0.044,0.000356131,0.16,0.17,-0.5239900242206036,-0.516157419205148,-0.8040412028286955,-0.8042702770479369,-0.513619786790381,-0.523929250894672
42,20,1.6793103448275863,20,0.05,1.0,1.5,-0.6033032677493808,0.06,-0.6138029878837139,0.062,0.000471601,0.125,0.09,-0.5496121230988947,-0.545632839046845,-0.796420057502774,-0.8060787533629448,-0.5363601301612669,-0.5120535184924833
41,30,1.5965517241379312,30,0.05,1.0,1.5,-0.5972236929901213,0.06,-0.618584606274138,0.046,0.000416241,0.08,0.084,-0.5108415867080269,-0.5061383842269753,-0.8276504208993978,-0.8115674757767748,-0.5408513666936924,-0.5300212408514579
42,40,1.6793103448275863,40,0.05,1.0,1.5,-0.5829788221856789,0.05,-0.5840783950853011,0.068,0.000401681,0.12,0.096,-0.4919426411775802,-0.4932268094823557,-0.7747209887612203,-0.8037769675125714,-0.4717077898824997,-0.4721118926416022
45,50,1.9275862068965517,50,0.05,1.0,1.5,-0.5667175917539792,0.05,-0.5594850153795712,0.038,0.000396751,0.185,0.16,-0.4963563745444553,-0.494195998754687,-0.786636412415631,-0.7844459480255704,-0.4982764140593941,-0.4879995853365134
43,60,1.7620689655172417,60,0.05,1.0,1.5,-0.6230520043611707,0.055,-0.6015433206387625,0.058,0.000442431,0.11,0.12,-0.5359256660431807,-0.5364658356791299,-0.8126360763970882,-0.8013897165371047,-0.516307218912847,-0.4959395980382995
43,70,1.7620689655172417,70,0.05,1.0,1.5,-0.5723051801286312,0.05,-0.6042390319140635,0.038,0.000482951,0.15,0.158,-0.5225961991674568,-0.5166364714019763,-0.7724776990811368,-0.803628984143895,-0.5058493122818305,-0.5432060236354738
47,80,2.093103448275862,80,0.05,1.0,1.5,-0.581673585472977,0.045,-0.6172649126567974,0.008,0.000411471,0.255,0.286,-0.467142715856119,-0.4578574151454477,-0.7896752654691841,-0.8055431442241197,-0.4971270693526309,-0.544770442898654
39,90,1.4310344827586208,90,0.05,1.0,1.5,-0.6198346653127703,0.06,-0.5830534418068127,0.114,0.000428701,0.06,0.046,-0.5934919617938731,-0.5933457352442791,-0.8049203176298186,-0.8032062981111674,-0.5115515323392362,-0.5097828427514886
