,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
0,0,-9.663628586791242,-4.654748414481924,[0.04],0.664410578606204,0.04,34.289299269092155,[1.66441058],1,0.0,tensor(-1.5812),"[np.float64(0.6136624199953791), np.float64(9.131995783165918), np.float64(0.0), np.float64(2.424619603530999)]",1.0
1,1,-9.523220850597498,-4.69717788022096,[0.03],0.9016370103151465,0.03,34.24382079289402,[1.66441058],1,9.999999936756496e-05,tensor(2.1811),"[np.float64(0.6135082727071114), np.float64(9.132137045591344), np.float64(0.0003999999990066674), np.float64(2.424467547347056)]",1.0
2,2,-9.581299486047431,-4.703106327933579,[0.03],0.9061473732640353,0.03,34.19857479934125,[1.66441058],1,7.905663653886861e-05,tensor(2.1850),"[np.float64(0.6133548601329201), np.float64(9.132278039585687), np.float64(0.0007977784059083256), np.float64(2.424315812067902)]",1.0
3,3,-9.639349008353962,-4.709028390372677,[0.03],0.9106241040654824,0.03,34.15341672864944,[1.66441058],1,2.6230065374971073e-05,tensor(2.1888),"[np.float64(0.6132016608092425), np.float64(9.1324189830049), np.float64(0.0011949542436627933), np.float64(2.4241641551091675)]",1.0
4,4,-9.697014036827971,-4.7149466794876895,[0.03],0.9152196760985095,0.03,34.10832426110377,[1.66441058],1,-4.138815827925013e-05,tensor(-6.2556),"[np.float64(0.6130485888367072), np.float64(9.132559909985732), np.float64(0.0015917257006082066), np.float64(2.4240125396166885)]",1.0
5,5,-9.754908900232891,-4.720861900304567,[0.03],0.9196995677175833,0.03,34.063292037058794,[1.66441058],1,-2.7066713768663228e-05,tensor(-6.2665),"[np.float64(0.6128956194265869), np.float64(9.132700829712956), np.float64(0.001988088200407799), np.float64(2.423860957768264)]",1.0
6,6,-9.812790648940364,-4.726774292087916,[0.03],0.9241594098195169,0.03,34.018318914852074,[1.66441058],1,1.5937349183343027e-05,tensor(2.2003),"[np.float64(0.6127427434215368), np.float64(9.132841745164082), np.float64(0.002383984386619361), np.float64(2.423709409320104)]",1.0
7,7,-9.870425393407723,-4.732683939519918,[0.03],0.92868978115752,0.03,33.973405167409005,[1.66441058],1,4.142275434652209e-05,tensor(2.2041),"[np.float64(0.6125899571555979), np.float64(9.132982657146448), np.float64(0.0027793370903233246), np.float64(2.423557896833965)]",1.0
8,8,-9.927191160383122,-4.738525681502145,[0.035],0.9335296489456731,0.035,33.92855162531897,[1.66441058],1,5.267947440595335e-05,tensor(2.1433),"[np.float64(0.6124372593334092), np.float64(9.133123565504556), np.float64(0.0031740599199384036), np.float64(2.4234064241687756)]",1.0
9,9,-9.983245149076499,-4.744317477708106,[0.035],0.9385830968422274,0.035,33.88381636554951,[1.66441058],1,5.243181402156462e-05,tensor(2.1475),"[np.float64(0.6122848208421704), np.float64(9.133264228650466), np.float64(0.00356753091350114), np.float64(2.423255257586702)]",1.0
10,10,-10.039198831114323,-4.750105497937703,[0.035],0.9436220905792346,0.035,33.839186968165,[1.66441058],1,4.245602550140058e-05,tensor(2.1516),"[np.float64(0.6121326014318733), np.float64(9.133404702499679), np.float64(0.003959771408597615), np.float64(2.4231043408390014)]",1.0
11,11,-10.095062107006866,-4.755889964116876,[0.035],0.9486483672340422,0.035,33.794654739951135,[1.66441058],1,2.4148679600129542e-05,tensor(2.1558),"[np.float64(0.6119805723839392), np.float64(9.133545027268607), np.float64(0.004350769144464535), np.float64(2.4229536346933225)]",1.0
12,12,-10.150831067329449,-4.761671040726147,[0.035],0.9536674571950196,0.035,33.75021344100044,[1.66441058],1,-1.3678532492998168e-06,tensor(-6.3488),"[np.float64(0.6118287126597699), np.float64(9.133685232676777), np.float64(0.004740489258600608), np.float64(2.4228031112926542)]",1.0
13,13,-10.206466294335078,-4.767448854747474,[0.035],0.9586973904790752,0.035,33.70585850429592,[1.66441058],1,2.6567647049635487e-06,tensor(2.1641),"[np.float64(0.6116770065293284), np.float64(9.133825341163206), np.float64(0.005128881174543004), np.float64(2.4226527506764888)]",1.0
