seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
80,0.5,80,0.05,1,1,-0.8007068188816342,0.53,-0.8021495390632044,0.544
80,0.5798319327731092,80,0.05,1,1,-0.8013065634957272,0.51,-0.7994095289103728,0.536
80,0.6596638655462185,80,0.05,1,1,-0.8002853175949292,0.49,-0.7981875723809024,0.504
80,0.7394957983193278,80,0.05,1,1,-0.8002467801224236,0.48,-0.7981002663708141,0.476
80,0.819327731092437,80,0.05,1,1,-0.8004656410562089,0.47,-0.7981425451358252,0.46
80,0.8991596638655461,80,0.05,1,1,-0.8008037189601186,0.43,-0.7981290832423057,0.42
80,0.9789915966386554,80,0.05,1,1,-0.8009206371553236,0.42,-0.7979919231331462,0.412
80,1.0588235294117647,80,0.05,1,1,-0.801082918339533,0.4,-0.7978229315820734,0.396
80,1.138655462184874,80,0.05,1,1,-0.8011885396860263,0.4,-0.7976112947218769,0.392
80,1.218487394957983,80,0.05,1,1,-0.8014153041810813,0.37,-0.7974257326233535,0.376
80,1.2983193277310923,80,0.05,1,1,-0.8012324671754594,0.33,-0.7972515759942087,0.344
80,1.3781512605042017,80,0.05,1,1,-0.8015800271267453,0.29,-0.7972245232367914,0.34
80,1.4579831932773109,80,0.05,1,1,-0.801474584228282,0.29,-0.7971609769790817,0.328
80,1.53781512605042,80,0.05,1,1,-0.8012185908249877,0.27,-0.7968876593423181,0.312
80,1.6176470588235294,80,0.05,1,1,-0.8008500956314322,0.26,-0.7964131568001561,0.304
80,1.6974789915966386,80,0.05,1,1,-0.8002540414133,0.25,-0.7959400499435652,0.284
80,1.7773109243697478,80,0.05,1,1,-0.7998470689197587,0.23,-0.7955643128650495,0.28
80,1.857142857142857,80,0.05,1,1,-0.7995707324965443,0.23,-0.7953518286108869,0.268
80,1.9369747899159662,80,0.05,1,1,-0.7990098877639088,0.23,-0.7950931910423663,0.26
80,2.0168067226890756,80,0.05,1,1,-0.7984299943034483,0.23,-0.7947396751148434,0.252
80,2.0966386554621845,80,0.05,1,1,-0.7979794578617354,0.22,-0.7944278063946113,0.228
80,2.176470588235294,80,0.05,1,1,-0.7976832653019333,0.21,-0.7941599092459609,0.216
80,2.2563025210084033,80,0.05,1,1,-0.7974553642515448,0.2,-0.7939324388927342,0.204
80,2.3361344537815123,80,0.05,1,1,-0.7972526858563523,0.17,-0.7937388944163215,0.2
80,2.4159663865546217,80,0.05,1,1,-0.7968880729262051,0.16,-0.7935303254937697,0.192
80,2.495798319327731,80,0.05,1,1,-0.7965969718069228,0.15,-0.7933548431635841,0.188
80,2.57563025210084,80,0.05,1,1,-0.7963577344494656,0.15,-0.7932043614994256,0.18
80,2.6554621848739495,80,0.05,1,1,-0.7961571806960154,0.14,-0.7930732307259925,0.164
80,2.735294117647059,80,0.05,1,1,-0.7959858383679067,0.11,-0.7929574295982873,0.16
80,2.815126050420168,80,0.05,1,1,-0.7958373578226167,0.11,-0.7928543825833986,0.156
80,2.8949579831932772,80,0.05,1,1,-0.7957070834864676,0.11,-0.7927617384840826,0.144
80,2.974789915966386,80,0.05,1,1,-0.7956046821892697,0.1,-0.79268028428328,0.136
80,3.0546218487394956,80,0.05,1,1,-0.7955325134335506,0.1,-0.7926094911325835,0.132
80,3.134453781512605,80,0.05,1,1,-0.7954678553027063,0.09,-0.7925447525691458,0.124
80,3.214285714285714,80,0.05,1,1,-0.7954095924090149,0.09,-0.7924851932367067,0.112
80,3.2941176470588234,80,0.05,1,1,-0.7953564562272869,0.08,-0.7924310428244592,0.1
80,3.3739495798319323,80,0.05,1,1,-0.7953072139589729,0.08,-0.7923863937971182,0.096
80,3.4537815126050417,80,0.05,1,1,-0.7952619789436581,0.08,-0.7923449100392204,0.092
80,3.533613445378151,80,0.05,1,1,-0.7952202804045402,0.08,-0.7923062867426405,0.092
80,3.61344537815126,80,0.05,1,1,-0.795170942475802,0.08,-0.7922857335238631,0.092
80,3.6932773109243695,80,0.05,1,1,-0.7951214443065249,0.07,-0.7922737924219152,0.092
80,3.773109243697479,80,0.05,1,1,-0.7950750024570387,0.07,-0.7922626609586098,0.084
80,3.852941176470588,80,0.05,1,1,-0.7950313481490212,0.07,-0.7922523553384214,0.08
80,3.9327731092436973,80,0.05,1,1,-0.7949902469443891,0.06,-0.7922427791889616,0.08
80,4.012605042016807,80,0.05,1,1,-0.7949513708718178,0.05,-0.7922338003206005,0.076
80,4.092436974789916,80,0.05,1,1,-0.7949145641009995,0.05,-0.792225308951746,0.076
80,4.172268907563025,80,0.05,1,1,-0.7948796715697047,0.05,-0.7922173901793451,0.072
80,4.252100840336134,80,0.05,1,1,-0.7948465244276488,0.05,-0.7922099576311855,0.068
