,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
0,0,-2.618948625981364,-4.414331421436715,[0.06],0.47304012391008726,0.06,34.80627305989886,[1.47304012],1,0.0,tensor(-0.2946),"[np.float64(0.5910019778975223), np.float64(9.184927849832347), np.float64(0.0), np.float64(2.461175170848512)]",1.0
1,1,-3.0808735002212826,-4.725574449144693,[0.04],0.4528539357009921,0.04,34.417069792480184,[1.47304012],1,2.9460802478201754e-05,tensor(1.7058),"[np.float64(0.588521539785658), np.float64(9.185168953426526), np.float64(0.0029010623635032343), np.float64(2.460939929149866)]",1.0
2,2,-3.403119846735557,-4.885382551701663,[0.04],0.49415859802414214,0.04,33.688425636699144,[1.47304012],1,-0.00011754974367621814,tensor(-2.3325),"[np.float64(0.5840910456797788), np.float64(9.18559663581813), np.float64(0.008200361602232292), np.float64(2.4605172725275644)]",1.0
3,3,-3.7505249046986355,-5.091833017972038,[0.065],0.5675274779396975,0.065,32.692703485062516,[1.47304012],1,-1.9046178561239232e-06,tensor(-2.7402),"[np.float64(0.5781340811699397), np.float64(9.186171729750056), np.float64(0.015433072676422762), np.float64(2.4599465079597214)]",1.0
4,4,-3.9463271245570084,-5.300388136239297,[0.08],0.6945008255930464,0.08,31.67272417178884,[1.47304012],1,0.0003646305607626368,tensor(1.6721),"[np.float64(0.572357147327908), np.float64(9.186734909628296), np.float64(0.022749500941306802), np.float64(2.4593822856769703)]",1.0
5,5,-3.99907796252637,-5.507804212140985,[0.1],0.8290299733469036,0.1,30.792091461586278,[1.47304012],1,0.0004906484018388323,tensor(1.6443),"[np.float64(0.5676491911435364), np.float64(9.187191742892526), np.float64(0.029020797175626292), np.float64(2.458918184872266)]",1.0
6,6,-4.005685172154292,-5.663821192935489,[0.1],0.9322234205711095,0.1,30.136361219096518,[1.47304012],1,0.00042702909632428925,tensor(1.7180),"[np.float64(0.5644183578690026), np.float64(9.187481079519717), np.float64(0.03369375452996916), np.float64(2.4586139231251183)]",1.0
7,7,-3.97069685446785,-5.772672788405069,[0.125],1.0071514076989383,0.125,29.68146308571814,[1.47304012],1,0.0002043291130211408,tensor(1.5944),"[np.float64(0.5624882036979251), np.float64(9.187621525920523), np.float64(0.037007789963204175), np.float64(2.458452215426143)]",1.0
8,8,-3.9892090471341466,-5.778076151711985,[0.13],1.0006894701864888,0.13,29.623446559410063,[1.47304012],1,-0.0001332717577962439,tensor(-4.0286),"[np.float64(0.563065142338853), np.float64(9.18748942513906), np.float64(0.037534566263570934), np.float64(2.45855092816418)]",1.0
9,9,-4.083592237343133,-5.7208521709884765,[0.125],0.9103965903767206,0.125,29.882479287048117,[1.47304012],1,-4.879205544236642e-07,tensor(-3.6092),"[np.float64(0.565423738573026), np.float64(9.18715420821779), np.float64(0.03590760046454204), np.float64(2.458849303718777)]",1.0
10,10,-4.123718464855935,-5.61512644353624,[0.095],0.8107576991048384,0.095,30.31720307861035,[1.47304012],1,0.00046665956597389207,tensor(1.6639),"[np.float64(0.5688159908679472), np.float64(9.186695493594298), np.float64(0.03326824315867546), np.float64(2.4592660015040915)]",1.0
11,11,-4.134275127162461,-5.521274799996041,[0.09],0.72923134372577,0.09,30.69076425307561,[1.47304012],1,0.0006739865709483144,tensor(1.6360),"[np.float64(0.5718615113819243), np.float64(9.186275643909514), np.float64(0.031466975915008286), np.float64(2.459645140531012)]",1.0
12,12,-4.124916274683335,-5.453200755359746,[0.08],0.6662372652907451,0.08,30.96153753192869,[1.47304012],1,0.0006762508659034742,tensor(1.6503),"[np.float64(0.5742885669568594), np.float64(9.185926455657295), np.float64(0.030732284929521285), np.float64(2.4599538808911494)]",1.0
13,13,-4.116518052245832,-5.425471998055568,[0.075],0.6363173692078541,0.075,31.06466539181945,[1.47304012],1,0.000513032331843538,tensor(1.6574),"[np.float64(0.5758329428371766), np.float64(9.185678770117983), np.float64(0.031191995747452513), np.float64(2.46016490448943)]",1.0
14,14,-4.1304503360740545,-5.439206085717582,[0.075],0.6303170050753377,0.075,31.008588582800922,[1.47304012],1,0.00021672227299346494,tensor(1.6526),"[np.float64(0.5764756613805846), np.float64(9.185534675161604), np.float64(0.03261555698912824), np.float64(2.4602770830436502)]",1.0
15,15,-4.165700760304701,-5.487320022497238,[0.075],0.6422030501458257,0.075,30.823932766672044,[1.47304012],1,-0.00018558954850687688,tensor(-3.2333),"[np.float64(0.576395282815669), np.float64(9.185474068819154), np.float64(0.034734748755058865), np.float64(2.4603094389647464)]",1.0
16,16,-4.196549087235435,-5.558725817543835,[0.09],0.67782163295418,0.09,30.538008757699906,[1.47304012],1,-0.00018410897767288936,tensor(-3.2877),"[np.float64(0.5757519558164899), np.float64(9.185479016852357), np.float64(0.03737254325429459), np.float64(2.460279048428294)]",1.0
17,17,-4.215569481647276,-5.623000015720761,[0.1],0.7128857240892816,0.1,30.2708168434515,[1.47304012],1,0.00014585006182926729,tensor(1.5614),"[np.float64(0.5751806181720511), np.float64(9.185476311092481), np.float64(0.04002982109645875), np.float64(2.4602529438042047)]",1.0
18,18,-4.226903914678959,-5.6680402362284505,[0.1],0.735828562690353,0.1,30.07981344839529,[1.47304012],1,0.00025367973285960913,tensor(1.5778),"[np.float64(0.5749646869333938), np.float64(9.185431109030402), np.float64(0.04228551024928245), np.float64(2.4602676374962)]",1.0
19,19,-4.236051895147555,-5.696991168893806,[0.105],0.7465773599075619,0.105,29.95464710206821,[1.47304012],1,0.00018216713492670832,tensor(1.5537),"[np.float64(0.5750599914150196), np.float64(9.185348593862518), np.float64(0.044210993205965284), np.float64(2.4603181290244556)]",1.0
20,20,-4.240059467545689,-5.707879854560502,[0.115],0.745902455163661,0.115,29.904060759983473,[1.47304012],1.001,-3.0416167286847747e-05,tensor(-3.3918),"[np.float64(0.575467772037516), np.float64(9.185224613547769), np.float64(0.045719188744132506), np.float64(2.46041001528409)]",1.0
21,21,-4.3813127147080575,-5.476160754312852,[0.105],0.5498712167557601,0.105,30.134618246029113,[1.47304012],1.001,0.00013869841374358053,tensor(1.4164),"[np.float64(0.5762557421365194), np.float64(9.185045392241646), np.float64(0.046637717796949286), np.float64(2.4605597515974678)]",1.0
22,22,-4.387693315234674,-5.455899108800846,[0.105],0.521902526442054,0.105,30.23967910402357,[1.47304012],1.001,0.00013234779373614094,tensor(1.3968),"[np.float64(0.5769674061191172), np.float64(9.184866943281744), np.float64(0.04711700533886447), np.float64(2.460716574829092)]",1.0
23,23,-4.394470959093446,-5.428104704772675,[0.095],0.48897718923072087,0.095,30.382220758827344,[1.47304012],1.001,-1.2415220971311565e-05,tensor(-3.0279),"[np.float64(0.5775847720820776), np.float64(9.184693230726143), np.float64(0.047284495389113855), np.float64(2.4608749915435704)]",1.0
24,24,-4.400563413327442,-5.402295731310664,[0.095],0.4610700973202761,0.095,30.518856539548473,[1.47304012],1.001,0.000174561052056504,tensor(1.4095),"[np.float64(0.577909304912342), np.float64(9.184553335853126), np.float64(0.047325790690041794), np.float64(2.4610071244788982)]",1.0
25,25,-4.402035039177797,-5.37848032629844,[0.09],0.4406960042368161,0.09,30.644698442683207,[1.47304012],1.001,0.00018319473353916807,tensor(1.4220),"[np.float64(0.5779696842210169), np.float64(9.184444246368088), np.float64(0.04729580746474266), np.float64(2.4611144915516183)]",1.0
26,26,-4.410259876272453,-5.369829451491952,[0.09],0.43284903226560023,0.09,30.70838577810009,[1.47304012],1.001,4.790568607407177e-05,tensor(1.4161),"[np.float64(0.5775965063111896), np.float64(9.184382597909787), np.float64(0.04733918113760488), np.float64(2.461181247435841)]",1.0
27,27,-4.420017250730648,-5.373031280851534,[0.095],0.4374932749816677,0.095,30.720997303120456,[1.47304012],1.001,-0.00020193804371345322,tensor(-2.9484),"[np.float64(0.5768689659205862), np.float64(9.18435987560732), np.float64(0.047457166442654575), np.float64(2.4612145407008605)]",1.0
28,28,-4.4310375417164884,-5.381406614758207,[0.095],0.44688280711328954,0.095,30.711080575144482,[1.47304012],1.001,-0.0001069775184663195,tensor(-2.9629),"[np.float64(0.576014358104941), np.float64(9.184350484412535), np.float64(0.047591757007413964), np.float64(2.461237229995576)]",1.0
29,29,-4.436295862892816,-5.392500305038168,[0.1],0.46310308753169965,0.1,30.685276432869394,[1.47304012],1.001,0.0002652765301509488,tensor(1.3833),"[np.float64(0.5750687218491973), np.float64(9.184350510324224), np.float64(0.04774606431925839), np.float64(2.4612526823851852)]",1.0
30,30,-4.442416308472403,-5.395102256357859,[0.095],0.47038821441023965,0.095,30.69934926775713,[1.47304012],1.001,0.0004247507465783836,tensor(1.4163),"[np.float64(0.5742706326400192), np.float64(9.184335620186449), np.float64(0.04779434123221426), np.float64(2.461282769632938)]",1.0
31,31,-4.44883067890921,-5.397561937089169,[0.095],0.47684207981434584,0.095,30.711817768053795,[1.47304012],1.001,0.00041070321250137197,tensor(1.4210),"[np.float64(0.5734212445413461), np.float64(9.18432499521033), np.float64(0.048018956615421035), np.float64(2.461306235473042)]",1.0
32,32,-4.456977947297036,-5.403131410435253,[0.1],0.48497842617773174,0.1,30.705578140244032,[1.47304012],1.001,0.00025736759761688186,tensor(1.3989),"[np.float64(0.5724452763982282), np.float64(9.184324494610452), np.float64(0.04847223597978451), np.float64(2.4613167521629244)]",1.0
33,33,-4.465834996516205,-5.400307092802551,[0.1],0.48463958982365557,0.1,30.740123467735565,[1.47304012],1.001,-5.194003470281438e-06,tensor(-3.0212),"[np.float64(0.5716496932585797), np.float64(9.1843060447068), np.float64(0.04875609898470636), np.float64(2.4613459931376815)]",1.0
34,34,-4.474935772492176,-5.390754907341188,[0.095],0.47771429618415273,0.095,30.807284927642627,[1.47304012],1.001,8.687350160133811e-05,tensor(1.4216),"[np.float64(0.5709992364653144), np.float64(9.184273284088066), np.float64(0.048917225939791295), np.float64(2.461390165730571)]",1.0
35,35,-4.480935272525673,-5.386554172306172,[0.1],0.4783457509331345,0.1,30.849247713156085,[1.47304012],1.001,1.8366307295902845e-05,tensor(1.3942),"[np.float64(0.5702514917027137), np.float64(9.184250515952693), np.float64(0.049103318244957596), np.float64(2.461426892839091)]",1.0
36,36,-4.486032194919674,-5.384144498937442,[0.1],0.48053654219916503,0.1,30.885209376667532,[1.47304012],1.001,-0.00017585832104802788,tensor(-2.7636),"[np.float64(0.5695201711218099), np.float64(9.184220910345775), np.float64(0.04925384107017336), np.float64(2.461471078571527)]",1.0
37,37,-4.490950642342092,-5.386864222307,[0.095],0.4868710948939372,0.095,30.898228293577365,[1.47304012],1.001,-5.48785050624672e-05,tensor(-2.7726),"[np.float64(0.5687114336376512), np.float64(9.184193108014446), np.float64(0.0494636974741517), np.float64(2.461513029621919)]",1.0
38,38,-4.494741304478167,-5.39769678524495,[0.1],0.5031199764837416,0.1,30.8590884372614,[1.47304012],1.001,0.0003191616490116857,tensor(1.4119),"[np.float64(0.5676663036126902), np.float64(9.184183246542167), np.float64(0.04997656915274782), np.float64(2.461534531988874)]",1.0
