,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
29,0,1.5,0,0.08,1.0,1,-0.5900738880250164,0.145,-0.5099037171328413,0.178,0.002204483,0.0,0.0,-0.6385627689067644,-0.6573728874333881,-0.867448893503783
55,10,4.1,10,0.09,3.0,1,-0.5227754691110243,0.15,-0.470584159570833,0.13,0.001995742,0.0,0.0,-0.5362509951085432,-0.5327026635057533,-0.8650243162569718
48,20,3.4000000000000004,20,0.09,2.5,1,-0.5965144041475753,0.145,-0.5216085652604211,0.192,0.002105393,0.0,0.0,-0.6195698052356802,-0.6136118319975257,-0.8622150372579369
27,30,1.3,30,0.05,1.5,1,-0.5430888260809951,0.145,-0.5494731565350497,0.138,0.002580452,0.0,0.0,-0.6343093828315787,-0.6287436280462295,-0.8321146646793162
33,40,1.9,40,0.08,1.5,1,-0.5555231148157108,0.15,-0.5128652881230243,0.158,0.002641123,0.0,0.0,-0.6691542107188817,-0.6652143475851982,-0.8470570634593607
27,50,1.3,50,0.05,1.5,1,-0.552843917594061,0.145,-0.5165508505283811,0.126,0.002012102,0.0,0.0,-0.6501144154904043,-0.6439392389748988,-0.8460132606529144
32,60,1.8000000000000005,60,0.05,2.5,1,-0.5713829887604694,0.15,-0.5135137719536692,0.138,0.002642483,0.0,0.0,-0.6250159125646135,-0.6262454377455242,-0.8487597396292763
30,70,1.6,70,0.05,1.5,1,-0.512763487054411,0.14,-0.49527291356482,0.16,0.002373082,0.0,0.0,-0.6222482831369327,-0.6182473977760238,-0.8442772333571793
34,80,2.0,80,0.1,1.5,1,-0.5460778029276284,0.15,-0.5284300736270163,0.11,0.002642842,0.0,0.0,-0.6085950067201439,-0.5905196320638126,-0.8560791686457763
31,90,1.7000000000000002,90,0.05,1.5,1,-0.5114376711770293,0.14,-0.498644129093632,0.1,0.002590842,0.0,0.0,-0.6013678917567247,-0.5863458572711272,-0.8673656737694849
