,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
32,0,1.8000000000000005,0,0.08,1.0,1,-0.5907926997837416,0.11,-0.5235968263919096,0.136,0.002204483,0.0,0.0,-0.5867596594929319,-0.6085124391150843,-0.8653332003977868
34,10,2.0,10,0.09,1.0,1,-0.4928967703804698,0.105,-0.5029823545458749,0.11,0.002324353,0.0,0.0,-0.5164158478873198,-0.5346094724241884,-0.8644587738767108
27,20,1.3,20,0.05,1.5,1,-0.5929511176029963,0.1,-0.5533975635093871,0.14,0.002145662,0.0,0.0,-0.6556130072879222,-0.6633222322088955,-0.8693535730261597
28,30,1.4,30,0.05,1.5,1,-0.5474950693944712,0.105,-0.5501113326381126,0.108,0.002580452,0.0,0.0,-0.6135455111700925,-0.6083014469531093,-0.8316500819545883
39,40,2.5,40,0.08,1.5,1,-0.5644389373806391,0.095,-0.5199083441331809,0.112,0.002641123,0.0,0.0,-0.6026158160443217,-0.5999621767856916,-0.8476627638706278
34,50,2.0,50,0.08,1.5,1,-0.5498673236473548,0.105,-0.528451824534634,0.104,0.002281803,0.0,0.0,-0.5757659740829298,-0.5746687356169775,-0.8667354133000904
28,60,1.4,60,0.05,1.5,1,-0.5119457135931504,0.1,-0.4793720582007848,0.142,0.002589411,0.0,0.0,-0.6045373863688661,-0.62444992922043,-0.8471965664814969
33,70,1.9,70,0.05,1.5,1,-0.5226334937790612,0.1,-0.5006041176069835,0.108,0.002373082,0.0,0.0,-0.5646051549774169,-0.5611928642069838,-0.8420934555483218
35,80,2.1,80,0.1,1.5,1,-0.545503357724863,0.11,-0.5291872818714622,0.1,0.002642842,0.0,0.0,-0.5894065731534046,-0.5712359602617488,-0.8558208890481779
34,90,2.0,90,0.05,1.5,1,-0.504564979668453,0.105,-0.4945518352895384,0.08,0.002590842,0.0,0.0,-0.5486103321886467,-0.5327344457186721,-0.8634913555633765
