,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
34,0,2.0,0,0.05,2.5,1,-0.5471079611482721,0.055,-0.5389559971941966,0.068,0.002695313,0.0,0.0,-0.550725206172278,-0.5706876809102589,-0.841445566613914
45,10,3.1,10,0.09,1.0,1,-0.5041175969347889,0.045,-0.5063621792515717,0.018,0.002324353,0.0,0.0,-0.3165945632411625,-0.3412015253262838,-0.8653718179420692
44,20,3.0,20,0.1,1.0,1,-0.5912952621058242,0.045,-0.5831922977618779,0.034,0.001968841,0.0,0.0,-0.4565588728336911,-0.4493184209863872,-0.872264769014876
39,30,2.5,30,0.12,1.0,1,-0.5538747408779744,0.05,-0.5052769411716295,0.038,0.002705022,0.0,0.0,-0.4990479153548092,-0.4861174866492373,-0.8677246679549789
51,40,3.7,40,0.08,1.5,1,-0.5726092186702157,0.045,-0.5250131772181605,0.05,0.002641123,0.0,0.0,-0.4838760681073493,-0.4819324213242245,-0.8475116384201414
39,50,2.5,50,0.08,1.5,1,-0.551579452322285,0.05,-0.5324452595973891,0.07,0.002281803,0.0,0.0,-0.480380955281072,-0.4794108615431376,-0.8657343097034073
38,60,2.4000000000000004,60,0.05,2.5,1,-0.5519762723260541,0.06,-0.4950728618615308,0.06,0.002642483,0.0,0.0,-0.5127777162084484,-0.5097525197914434,-0.845749914535761
43,70,2.9000000000000004,70,0.05,1.5,1,-0.5493749624178808,0.045,-0.5162934115934724,0.028,0.002373082,0.0,0.0,-0.3911494474578885,-0.3901358620036526,-0.8383191880872123
45,80,3.1,80,0.1,1.5,1,-0.541083940446378,0.06,-0.5367723376932421,0.036,0.002642842,0.0,0.0,-0.4058116389474289,-0.3869817951418965,-0.8549306995547019
43,90,2.9000000000000004,90,0.05,1.5,1,-0.4478756191666864,0.06,-0.4260039141637794,0.052,0.002590842,0.0,0.0,-0.4078104139122971,-0.3907377825351841,-0.8353497407912426
