,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
44,0,1.8448275862068968,0,0.05,1.0,1,-0.6220394314510169,0.1,-0.6254115107854152,0.078,0.000635208,0.045,0.03,-0.6059213976800206,-0.6034185358508763,-0.8172676887864603,-0.8148437780700749,-0.5284282083866498,-0.5454566656752946
43,10,1.7620689655172417,10,0.05,1.0,1,-0.63951118878673,0.0925,-0.6270363742307811,0.097,0.000698555,0.02,0.023,-0.6306031390839025,-0.6269559569340506,-0.8258308096184968,-0.812424711695339,-0.5729810864322268,-0.5547774298346684
41,20,1.5965517241379312,20,0.05,1.0,1,-0.6385726233260882,0.1,-0.6313042592082857,0.113,0.000644911,0.0025,0.014,-0.6297022189397036,-0.6279017553160147,-0.8240414802619819,-0.8152749182575953,-0.5397108280180518,-0.5456667831311892
43,30,1.7620689655172417,30,0.05,1.0,1,-0.6109477279775608,0.1075,-0.6128642279498075,0.088,0.000646146,0.02,0.019,-0.5988284261135088,-0.5909952557652652,-0.809965529128155,-0.8071340137425255,-0.5233403539703335,-0.533816177885541
42,40,1.6793103448275863,40,0.05,1.0,1,-0.5955985077364949,0.0925,-0.6093670543060595,0.079,0.00069282,0.01,0.014,-0.6047239251272586,-0.5982773333467921,-0.8052408315052401,-0.8087985241618632,-0.5017866251177543,-0.5352367316147555
41,50,1.5965517241379312,50,0.05,1.0,1,-0.6045240519725052,0.0975,-0.6101001414282822,0.103,0.000723721,0.0225,0.013,-0.6122757344146286,-0.6084737907318206,-0.8038444711600367,-0.7992413226214425,-0.5387335486675916,-0.5318885996493447
44,60,1.8448275862068968,60,0.05,1.0,1,-0.6212176097191947,0.1025,-0.6268605218365246,0.092,0.000616223,0.04,0.022,-0.6156652830703555,-0.6139198292877305,-0.8168653472195362,-0.8156150491534598,-0.5382481775060904,-0.5472456251793467
41,70,1.5965517241379312,70,0.05,1.0,1,-0.6311733530618284,0.1075,-0.6142477326683238,0.114,0.000619902,0.0175,0.013,-0.6295591981404549,-0.6248397433302962,-0.8142700444896792,-0.8101216182721318,-0.5630081540832754,-0.5454316638384729
40,80,1.513793103448276,80,0.05,1.0,1,-0.622539365113006,0.105,-0.6143817497190216,0.123,0.000645906,0.0025,0.005,-0.6373397029289172,-0.6375922619555949,-0.8159062681397089,-0.8172920440006001,-0.559451237316748,-0.525371824429729
44,90,1.8448275862068968,90,0.05,1.0,1,-0.6257104263809975,0.1,-0.6251294724927187,0.089,0.000609173,0.0275,0.023,-0.6129026478327158,-0.6112974954013903,-0.8031107694620307,-0.8194134959359176,-0.5478975733931838,-0.5473200861785047
