,Rho,Test_other_obj,Test_obj,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_obj,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-0.9059130403390079,-0.9315802207906959,0.4434740369497256,0.4434740369497256,0.4434740369497256,[0.54],6.011276020246274,0.0,0.54,"(0,)",-0.9315802207907098,0.33359607653623896,[0.5275],5.216754957486688,0.5275
1,0.00021544346900318845,-0.9059130403858273,-0.9314987154470066,0.44347403779943606,0.44347403779943606,0.44347403779943606,[0.54],6.01039576579634,0.0,0.54,"(0,)",-0.931498715447012,0.3335960773205563,[0.5275],5.215895078828074,0.5275
2,0.00046415888336127773,-0.9059130403538106,-0.9313231173127502,0.44347403734450186,0.44347403734450186,0.44347403734450186,[0.54],6.008499304238502,0.0,0.54,"(0,)",-0.9313231173127735,0.33359607689213144,[0.5275],5.214042517062934,0.5275
3,0.001,-0.9059130403706769,-0.9309448027216939,0.4434740376427211,0.4434740376427211,0.4434740376427211,[0.54],6.004413507800713,0.0,0.54,"(0,)",-0.9309448027216908,0.3335960771675348,[0.5275],5.210051299078063,0.5275
4,0.002154434690031882,-0.9059130402352702,-0.9301297483870479,0.44347403546294606,0.44347403546294606,0.44347403546294606,[0.54],5.995610912753807,0.0,0.54,"(0,)",-0.9301297483870431,0.33359607516314055,[0.5275],5.201452469081731,0.5275
5,0.004641588833612777,-0.9059130400085617,-0.9283737671562772,0.44347403043223244,0.44347403043223244,0.44347403043223244,[0.539],5.976653555149111,0.0,0.539,"(0,)",-0.928373767156454,0.3335960705483843,[0.525],5.182936388245405,0.525
6,0.01,-0.9059130400748655,-0.9245906211206115,0.4434740321325916,0.4434740321325916,0.4434740321325916,[0.538],5.935893733478124,0.0,0.538,"(0,)",-0.9245906211217222,0.333596072071532,[0.52],5.143409827750277,0.52
7,0.021544346900318822,-0.9059130400897004,-0.9164400798595573,0.443474033123715,0.443474033123715,0.443474033123715,[0.532],5.848697497557855,0.0,0.532,"(0,)",-0.9164400798593263,0.3335960729731826,[0.5125],5.059191718024757,0.5125
8,0.046415888336127774,-0.907666868786823,-0.8991543143570215,0.29366055174903966,0.29366055174903966,0.29366055174903966,[0.517],5.029922464279407,0.0,0.517,"(0,)",-0.8991543143570297,0.21299622058409617,[0.49],4.423118418633304,0.49
9,0.1,-0.9080010465702788,-0.8749698735784365,-0.22226454729939676,-0.22226454729939676,-0.22226454729939676,[0.475],2.486527489629435,0.0,0.475,"(0,)",-0.874969873578522,-0.22885664860174634,[0.4325],2.3368901774497326,0.4325
10,0.11,-0.9062932508996909,-0.8715683379500141,-0.25861590033442927,-0.25861590033442927,-0.25861590033442927,[0.465],2.301320979925151,0.0,0.465,"(0,)",-0.8715683379506229,-0.26860964327720394,[0.425],2.1683593403330566,0.425
11,0.17357142857142857,-0.8924853828039827,-0.8535525119171156,-0.39086076833891675,-0.39086076833891675,-0.39086076833891675,[0.43],1.686789058905147,0.0,0.43,"(0,)",-0.8535525119171212,-0.4260230950755661,[0.4125],1.5550328882753994,0.4125
12,0.23714285714285716,-0.8860060107611117,-0.8386944654489692,-0.4422220684627008,-0.4422220684627008,-0.4422220684627008,[0.406],1.3994944814108903,0.0,0.406,"(0,)",-0.8386944654490002,-0.47883810106552704,[0.405],1.289149765464013,0.405
13,0.3007142857142857,-0.878741841427672,-0.8256547856600932,-0.4881752625772833,-0.4881752625772833,-0.4881752625772833,[0.375],1.1507403250683639,0.0,0.375,"(0,)",-0.8256547856600917,-0.5224726319599754,[0.405],1.064934477894191,0.405
14,0.36428571428571427,-0.8746441619655398,-0.8138212450788139,-0.5084806598776309,-0.5084806598776309,-0.5084806598776309,[0.345],1.0033152613266414,0.0,0.345,"(0,)",-0.8138212450788225,-0.5408675757292853,[0.36],0.9209471665057509,0.36
15,0.4278571428571428,-0.8717366224896298,-0.8025417679807249,-0.5203685862824683,-0.5203685862824683,-0.5203685862824683,[0.326],0.8935702896599221,0.0,0.326,"(0,)",-0.8025417679807305,-0.550593367530354,[0.3175],0.8149664096158822,0.3175
16,0.49142857142857144,-0.8688476198226824,-0.7916638974241064,-0.5292669466316673,-0.5292669466316673,-0.5292669466316673,[0.313],0.7928762100685176,0.0,0.313,"(0,)",-0.7916638974241081,-0.5593122773964654,[0.3025],0.7235827751874728,0.3025
17,0.555,-0.8652245355071172,-0.781205717204238,-0.54051423436744,-0.54051423436744,-0.54051423436744,[0.291],0.6895876557895323,0.0,0.291,"(0,)",-0.7812057172043416,-0.5710094523639524,[0.285],0.630628879352488,0.285
18,0.6185714285714285,-0.8621797076224706,-0.7711803860253386,-0.549436555010129,-0.549436555010129,-0.549436555010129,[0.268],0.6054033076368205,0.0,0.268,"(0,)",-0.7711803860253389,-0.5793734812824167,[0.265],0.5521762887821587,0.265
19,0.6821428571428572,-0.8599158136890036,-0.7614480847636012,-0.5553043768480962,-0.5553043768480962,-0.5553043768480962,[0.244],0.539124719982355,0.0,0.244,"(0,)",-0.7614480847636058,-0.5850875833894292,[0.2375],0.4888703286838982,0.2375
