,Rho,Test_other_obj,Test_obj,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_obj,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-0.8198048820369587,-1.094015417624002,0.9307053523861357,0.9307053523861357,0.9307053523861357,[0.628],9.841524735281059,0.0,0.628,"(0,)",-1.1027698552267762,0.6260224990303823,[0.54],7.966102907725324,0.54
1,0.00021544346900318845,-0.8198048824894515,-1.0939262057446582,0.9307053502788586,0.9307053502788586,0.9307053502788586,[0.628],9.840390050677268,0.0,0.628,"(0,)",-1.1026811571405033,0.626022494019277,[0.54],7.965137226574329,0.54
2,0.00046415888336127773,-0.8198048825824693,-1.0937340036478396,0.9307053471582256,0.9307053471582256,0.9307053471582256,[0.628],9.837945431560174,0.0,0.628,"(0,)",-1.1024900619379916,0.6260224876293263,[0.54],7.963056733805981,0.54
3,0.001,-0.8198048822834234,-1.0933199164887646,0.9307053504307383,0.9307053504307383,0.9307053504307383,[0.628],9.8326786910143,0.0,0.628,"(0,)",-1.1020783595286456,0.6260225003199109,[0.54],7.958574562416506,0.54
4,0.002154434690031882,-0.8211657191558255,-1.0924320468340543,0.9174446411180447,0.9174446411180447,0.9174446411180447,[0.631],9.755973838037447,0.0,0.631,"(0,)",-1.1011952203645217,0.5896846322144319,[0.535],7.787296065664561,0.535
5,0.004641588833612777,-0.8254840224140082,-1.0905422068268449,0.8500749280725959,0.8500749280725959,0.8500749280725959,[0.63],9.510162521425203,0.0,0.63,"(0,)",-1.099312143704642,0.5794443999805755,[0.5325],7.690044726758766,0.5325
6,0.01,-0.8307243918499361,-1.0865907883303625,0.8151351966145666,0.8151351966145666,0.8151351966145666,[0.629],9.210111273729398,0.0,0.629,"(0,)",-1.0953282664483734,0.5801069646356353,[0.5325],7.644622944132684,0.5325
7,0.021544346900318822,-0.8275292857197728,-1.0782190589710476,0.8028710280763975,0.8028710280763975,0.8028710280763975,[0.633],8.985689165434348,0.0,0.633,"(0,)",-1.0868372604473064,0.5783050069787455,[0.5375],7.489711025905126,0.5375
8,0.046415888336127774,-0.8310178067739996,-1.0608388074817878,0.8019959009604222,0.8019959009604222,0.8019959009604222,[0.616],8.56371720312963,0.0,0.616,"(0,)",-1.0689909910751247,0.5789372451808532,[0.535],7.22056323783401,0.535
9,0.1,-0.8350194466987348,-1.0260167330816303,0.7352207307476024,0.7352207307476024,0.7352207307476024,[0.599],7.579529838304995,0.0,0.599,"(0,)",-1.0327540363159338,0.5140584419300933,[0.5175],6.354728384466184,0.5175
10,0.11,-0.8370217421394207,-1.020023904076584,0.7230806401440225,0.7230806401440225,0.7230806401440225,[0.594],7.3905483802538345,0.0,0.594,"(0,)",-1.0265198343427673,0.5018878098793714,[0.5225],6.216379542352549,0.5225
11,0.17357142857142857,-0.8616218712962259,-0.9863318908625791,0.4432313975575557,0.4432313975575557,0.4432313975575557,[0.569],5.85902689654946,0.0,0.569,"(0,)",-0.9916956052956121,0.32106611207805635,[0.505],5.106417549291551,0.505
