,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
23,0,2.3361344537815123,0,0.35,1.0,1,-0.8857665014029698,0.1075,-0.873909054648898,0.117
39,10,3.61344537815126,10,0.45,0.5,1,-0.8797522572162931,0.11,-0.8725062113316134,0.108
24,20,2.4159663865546217,20,0.45,1.0,1,-0.8772911745433922,0.11,-0.8683371557578896,0.137
21,30,2.176470588235294,30,0.33,0.75,1,-0.8825010776221057,0.1025,-0.869976253691962,0.12
19,40,2.0168067226890756,40,0.23,1.5,1,-0.879446518147721,0.105,-0.870083054221307,0.122
30,50,2.8949579831932772,50,0.4,0.75,1,-0.8768955475099085,0.11,-0.8667011278778751,0.122
22,60,2.2563025210084033,60,0.4,1.2,1,-0.8716462861639499,0.1075,-0.876772018373339,0.126
23,70,2.3361344537815123,70,0.25,1.2,1,-0.8744196684217198,0.11,-0.8641990502338363,0.121
32,80,3.0546218487394956,80,0.4,1.2,1,-0.8470183952785658,0.11,-0.8505264232516461,0.111
30,90,2.8949579831932772,90,0.45,0.75,1,-0.8793844636327657,0.105,-0.8691873613138172,0.128
