,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj
0,0.01,0.027100000000000003,-0.8577845225134679,-0.8606742345825955,-0.8549230135883958,0.023399999999999997,-0.8149599193965258,-0.817528972643574,-0.8105266511613316,0.021099999999999997,-0.82895311636164,-0.8326995965768113,-0.8237629975425595,0.0324,-0.8171157455662467,-0.8259524350746345,-0.8084924290413462,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.02,0.0376,-0.8598543849112407,-0.8617401569273749,-0.8582498342930859,0.0359,-0.8190140172552545,-0.8203522622692875,-0.8153446127246694,0.0322,-0.8328398702409082,-0.8356163316010674,-0.8266413518582055,0.0412,-0.8212648652506196,-0.8305051901808876,-0.8116752359191024,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.03,0.045200000000000004,-0.859553759715516,-0.8622380137664443,-0.8584331909852697,0.044399999999999995,-0.8214172144292761,-0.8220388945962944,-0.8178596097209294,0.03729999999999999,-0.8347551103149863,-0.8400757182251508,-0.8288465466745624,0.0412,-0.8212648652506196,-0.8305051901808876,-0.8116752359191024,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.05,0.0693,-0.8640517018427806,-0.8675033082911583,-0.8638470838055735,0.07020000000000001,-0.827863685723141,-0.8288914780480998,-0.8264635985751225,0.056600000000000004,-0.8395538266354425,-0.8445122679341994,-0.8351347474700322,0.06840000000000002,-0.8296171678734685,-0.8383849205552674,-0.8233460713889504,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.08,0.0972,-0.866466305501706,-0.8706717069859928,-0.865720845751949,0.1002,-0.834606407008677,-0.8374261155414882,-0.8323081407863113,0.0886,-0.8455281590517447,-0.8487638173685362,-0.8416897513337429,0.1036,-0.8390944647025329,-0.8514800277805561,-0.8325770613373373,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.1,0.12120000000000002,-0.8682197710702184,-0.8719004220540368,-0.8671101348478787,0.1233,-0.8386291639535791,-0.8400526339450685,-0.8374436192272721,0.11079999999999998,-0.8484604423837304,-0.8513885262871448,-0.8451111072274955,0.11840000000000002,-0.8421444730727664,-0.8547575871372899,-0.834411172636588,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.12,0.1376,-0.8698222067712379,-0.8734583925353185,-0.8679364002403898,0.1315,-0.8404404517515554,-0.8430797771653592,-0.8380475830307937,0.1262,-0.8505813893984291,-0.8540279774285029,-0.8474203449132286,0.12560000000000002,-0.8441273277375153,-0.8562376287013508,-0.8364907379653514,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.15,0.15960000000000002,-0.8727948772643197,-0.8769533848570608,-0.8695578418036813,0.16119999999999998,-0.8448542154026206,-0.8488545589385927,-0.841851732242535,0.15919999999999998,-0.8549597770243439,-0.8585966449089112,-0.8512777947454508,0.1544,-0.8509386488257306,-0.8651197569834109,-0.8390546440988023,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.18,0.1893,-0.8737184114851448,-0.8780283621832148,-0.8708591539242297,0.1896,-0.8490247031243575,-0.8523250199006486,-0.8463661855478408,0.18750000000000003,-0.8584736727732457,-0.8634719185149214,-0.8561638268341323,0.188,-0.8581854689546657,-0.8728101491311657,-0.8414368130907594,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
0,0.2,0.2149,-0.8749272470961431,-0.8792120728396183,-0.8725204647474457,0.2063,-0.8521065190893402,-0.854296660776252,-0.8482326926439142,0.2085,-0.8612853323641907,-0.8663935744577689,-0.8597395863521068,0.22200000000000003,-0.8648874503619398,-0.8750908898093879,-0.8521347921695968,0.6143338446619008,-0.8764905234270757,0.3239025733429464,-0.8259969126555478,-0.9005100167955326,-0.8620414202322902,-0.8310945738618772,-0.8257401991422693
