seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
2,0.5,2,0.4,10,1,-5.750926755458461,0.5175,-5.7812241577629395,0.511,0.00014769,0.08,0.068
2,0.5408163265306123,2,0.4,10,1,-5.837686259565562,0.51,-5.866361045489119,0.496,0.00014769,0.09,0.079
2,0.5816326530612245,2,0.4,10,1,-5.916744320556201,0.485,-5.9375433621844795,0.472,0.00014769,0.0925,0.093
2,0.6224489795918368,2,0.4,10,1,-5.983808704932338,0.47,-5.99390107569375,0.454,0.00014769,0.1,0.103
2,0.6632653061224489,2,0.4,10,1,-6.043227572841127,0.455,-6.041210794129449,0.436,0.00014769,0.1125,0.113
2,0.7040816326530612,2,0.4,10,1,-6.088138633143609,0.4325,-6.078061328376643,0.416,0.00014769,0.12,0.121
2,0.7448979591836735,2,0.4,10,1,-6.118619887304194,0.42,-6.105746499142452,0.404,0.00014769,0.125,0.133
2,0.7857142857142857,2,0.4,10,1,-6.139816961962124,0.4,-6.122614769999676,0.379,0.00014769,0.1425,0.151
2,0.8265306122448979,2,0.4,10,1,-6.147974732586924,0.3775,-6.1293722257629435,0.365,0.00014769,0.155,0.162
2,0.8673469387755102,2,0.4,10,1,-6.148503089387641,0.365,-6.128720962855581,0.351,0.00014769,0.165,0.167
2,0.9081632653061225,2,0.4,10,1,-6.143530498557673,0.35,-6.120760786903097,0.329,0.00014769,0.18,0.172
2,0.9489795918367346,2,0.4,10,1,-6.129861172141814,0.3275,-6.104390456170761,0.313,0.00014769,0.1875,0.194
2,0.9897959183673469,2,0.4,10,1,-6.110621399050464,0.325,-6.081960364992932,0.304,0.00014769,0.205,0.208
2,1.030612244897959,2,0.4,10,1,-6.0889426118479015,0.3125,-6.054797386997586,0.294,0.00014769,0.2125,0.22
2,1.0714285714285714,2,0.4,10,1,-6.0635942805689345,0.2975,-6.022028721611447,0.278,0.00014769,0.22,0.231
2,1.1122448979591835,2,0.4,10,1,-6.035527342648382,0.285,-5.984232196920441,0.264,0.00014769,0.2275,0.235
2,1.1530612244897958,2,0.4,10,1,-6.0025621143333305,0.27,-5.941512374675111,0.245,0.00014769,0.23,0.249
2,1.193877551020408,2,0.4,10,1,-5.961193159751573,0.2575,-5.890545849676985,0.23,0.00014769,0.24,0.26
2,1.2346938775510203,2,0.4,10,1,-5.917587209788206,0.2375,-5.839220405172486,0.218,0.00014769,0.245,0.269
2,1.2755102040816326,2,0.4,10,1,-5.868637813043931,0.2275,-5.784093150189852,0.207,0.00014769,0.2525,0.28
2,1.316326530612245,2,0.4,10,1,-5.815671283796583,0.2175,-5.72620484498941,0.196,0.00014769,0.2725,0.299
2,1.3571428571428572,2,0.4,10,1,-5.756224080412526,0.1975,-5.662956650666923,0.189,0.00014769,0.285,0.308
2,1.3979591836734693,2,0.4,10,1,-5.689561966133227,0.1925,-5.591817269320943,0.177,0.00014769,0.3025,0.314
2,1.4387755102040816,2,0.4,10,1,-5.620392246058384,0.18,-5.516683980180034,0.166,0.00014769,0.31,0.319
2,1.4795918367346939,2,0.4,10,1,-5.549873310535677,0.17,-5.442711322865341,0.157,0.00014769,0.325,0.332
2,1.5204081632653061,2,0.4,10,1,-5.476958854603535,0.155,-5.36854819325214,0.152,0.00014769,0.34,0.343
2,1.5612244897959182,2,0.4,10,1,-5.4007915467774525,0.145,-5.291990797368084,0.143,0.00014769,0.35,0.352
2,1.6020408163265305,2,0.4,10,1,-5.321733005505407,0.1225,-5.212666193362125,0.134,0.00014769,0.3575,0.355
2,1.6428571428571428,2,0.4,10,1,-5.241980155025793,0.1175,-5.133011263562474,0.125,0.00014769,0.365,0.364
2,1.683673469387755,2,0.4,10,1,-5.158079847698555,0.105,-5.05278271691878,0.115,0.00014769,0.3725,0.37
2,1.7244897959183672,2,0.4,10,1,-5.072033460488478,0.0975,-4.972847747131315,0.106,0.00014769,0.3725,0.376
2,1.7653061224489794,2,0.4,10,1,-4.985416754738817,0.0875,-4.892151963584407,0.095,0.00014769,0.3825,0.384
2,1.8061224489795917,2,0.4,10,1,-4.905540200847217,0.085,-4.817364605995361,0.091,0.00014769,0.3925,0.394
2,1.846938775510204,2,0.4,10,1,-4.825050188229698,0.08,-4.741327056578648,0.087,0.00014769,0.395,0.405
2,1.8877551020408163,2,0.4,10,1,-4.740746061256937,0.0725,-4.662939011358537,0.078,0.00014769,0.4025,0.411
2,1.9285714285714284,2,0.4,10,1,-4.65439444144003,0.065,-4.582625006534078,0.074,0.00014769,0.4075,0.417
2,1.9693877551020407,2,0.4,10,1,-4.567564095644963,0.0625,-4.50153923399773,0.068,0.00014769,0.415,0.421
2,2.010204081632653,2,0.4,10,1,-4.480733745340953,0.0625,-4.41905038032124,0.063,0.00014769,0.425,0.429
2,2.0510204081632653,2,0.4,10,1,-4.393903391487043,0.0625,-4.335208046148818,0.061,0.00014769,0.435,0.434
2,2.091836734693877,2,0.4,10,1,-4.3062291712574225,0.06,-4.25039263901561,0.057,0.00014769,0.4475,0.444
2,2.13265306122449,2,0.4,10,1,-4.217791187556022,0.055,-4.164054895989051,0.054,0.00014769,0.4525,0.451
2,2.1734693877551017,2,0.4,10,1,-4.127159206480909,0.0475,-4.076905144691234,0.051,0.00014769,0.455,0.461
2,2.2142857142857144,2,0.4,10,1,-4.035259005635024,0.0425,-3.989285499529407,0.047,0.00014769,0.46,0.469
2,2.2551020408163263,2,0.4,10,1,-3.9424199601548695,0.04,-3.9009748030431255,0.046,0.00014769,0.46,0.475
2,2.2959183673469385,2,0.4,10,1,-3.848837669099563,0.0375,-3.811432609300724,0.045,0.00014769,0.47,0.478
