,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
38,0,1.2461538461538462,0,0.25,1.0,1,-0.8790330010459181,0.1,-0.8951969087186512,0.096,0.002949908,0.0,0.0
36,10,1.1487179487179489,10,0.3,1.0,1,-1.0461567981561566,0.11,-0.8481090542300634,0.16,0.002786884,0.0,0.0
35,20,1.1,20,0.05,0.75,1,-0.9885840351132476,0.1,-0.8535585141335045,0.088,0.002425636,0.0,0.0
31,30,0.88875,30,0.05,0.5,1,-1.033419009698595,0.1,-0.8600345250113735,0.156,0.002853058,0.0,0.0
36,40,1.1487179487179489,40,0.23,0.75,1,-1.1076990358626184,0.1,-0.931412878513537,0.144,0.00357182,0.0,0.0
35,50,1.1,50,0.05,1.0,1,-0.8960631963475069,0.1,-0.8428269711815157,0.1,0.002307067,0.0,0.0
36,60,1.1487179487179489,60,0.2,1.5,1,-0.9345531941660264,0.11,-0.8674743794202575,0.16,0.002682978,0.0,0.0
27,70,0.7404166666666667,70,0.05,0.5,1,-0.7925216079089502,0.11,-0.7917782543673922,0.092,0.002479017,0.0,0.0
40,80,1.3435897435897437,80,0.2,1.5,1,-0.9169676164209,0.11,-0.984971762177978,0.092,0.002706627,0.0,0.0
33,90,0.9629166666666668,90,0.15,0.5,1,-0.9801848573423184,0.11,-0.7995300526318756,0.152,0.002252196,0.0,0.0
