,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
38,0,1.2461538461538462,0,0.35,0.75,1,-0.9370076500226868,0.06,-0.9108219629612004,0.08,0.002262103,0.0,0.0
34,10,1.0,10,0.05,0.75,1,-1.0452280686635158,0.06,-0.8514536817264237,0.052,0.002333426,0.0,0.0
37,20,1.1974358974358976,20,0.05,0.75,1,-0.988308107748666,0.06,-0.8535298090710189,0.064,0.002425636,0.0,0.0
35,30,1.1,30,0.05,1.0,1,-1.0367269193680937,0.05,-0.8936689165914568,0.112,0.002503457,0.0,0.0
37,40,1.1974358974358976,40,0.25,0.5,1,-1.1136838324874576,0.05,-0.8821543469548433,0.104,0.002434526,0.0,0.0
40,50,1.3435897435897437,50,0.25,1.0,1,-0.8984941922052121,0.05,-0.8563064406541228,0.052,0.002299066,0.0,0.0
41,60,1.3923076923076925,60,0.2,1.5,1,-0.9305510677813598,0.05,-0.8660356304355408,0.04,0.002682978,0.0,0.0
36,70,1.1487179487179489,70,0.1,0.5,1,-0.7784159433766347,0.06,-0.8194096494940925,0.052,0.002403896,0.0,0.0
38,80,1.2461538461538462,80,0.15,0.5,1,-0.941394117359655,0.05,-0.9613029741643748,0.044,0.002853727,0.0,0.0
35,90,1.1,90,0.15,0.5,1,-0.9856609256414448,0.05,-0.8114238399728547,0.076,0.002252196,0.0,0.0
