,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
33,0,0.953157894736842,0,0.05,5.0,1.5,-0.8975486329822489,0.0325,-0.8967794913741343,0.017,0.002128241,0.0,0.0,-0.7593633637280203,-0.7614988402443196,-0.9181872469942778,-0.918356660204028,-0.890629778300929,-0.8875414060322431
34,10,1.0,10,0.2,8.0,1.5,-0.9084779507672154,0.0,-0.9070504121196836,0.0,0.002455102,0.0,0.0,-0.7658908214582607,-0.7627545148560463,-0.928958354687664,-0.9287007963759116,-0.8862389152419715,-0.8890548823670371
37,20,1.2655172413793103,20,0.12,5.0,1.5,-0.9013241878858836,0.0,-0.9002951395491139,0.0,0.002256592,0.0,0.0,-0.5943000656229789,-0.5942293862133802,-0.9275159359359558,-0.9246118223859132,-0.8690043798210948,-0.8603271297742349
35,30,1.1,30,0.1,5.0,1.5,-0.8969494287585085,0.0,-0.8989788605597226,0.0,0.003042315,0.0,0.0,-0.6557879009298813,-0.6584339925861741,-0.9210865701863628,-0.9240428477976362,-0.860518671949622,-0.8713751253933482
36,40,1.1827586206896552,40,0.12,8.0,1.5,-0.8983239812033151,0.0,-0.8989290347837019,0.0,0.002517663,0.0,0.0,-0.7116580937050979,-0.7089082279139325,-0.9231112848944778,-0.9233147002143448,-0.8767989694972405,-0.8723104883762688
39,50,1.4310344827586208,50,0.2,8.0,1.5,-0.903017794116341,0.0,-0.9026371933642132,0.0,0.006447173,0.0,0.0,-0.6460078194689775,-0.6388309614892124,-0.9263802204098852,-0.9261892891181804,-0.8843396249185127,-0.8860509380945941
33,60,0.953157894736842,60,0.15,8.0,1.5,-0.9023296845393016,0.0,-0.9014485415394692,0.0,0.002782404,0.0,0.0,-0.7488412333189943,-0.7469068142653643,-0.9235160906676844,-0.9241927185858914,-0.8945452756796175,-0.892803953144441
33,70,0.953157894736842,70,0.12,8.0,1.5,-0.903777689423362,0.0025,-0.9056144820097224,0.001,0.002850235,0.0,0.0,-0.772855681240847,-0.7669054971305083,-0.9280148837126576,-0.9267912578233268,-0.8709505257926531,-0.8789056691986936
41,80,1.5965517241379312,80,0.1,5.0,1.5,-0.9027412139221644,0.0,-0.9021026296531868,0.0,0.002323142,0.0,0.0,-0.5344358910146064,-0.5359689997203215,-0.9249747453265976,-0.924294757001363,-0.8866511333925262,-0.88139872833332
32,90,0.9063157894736842,90,0.15,3.0,1.5,-0.9053348956680356,0.0,-0.9069806716959616,0.0,0.002450883,0.0,0.0,-0.6313783033528374,-0.6216843489254589,-0.9245749455016028,-0.925684727444623,-0.8839790315273347,-0.883604826421177
