seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
1,0.5,1,0.15,1,1,-5.157677365889555,0.2325,-5.395979724615445,0.203,0.00020014,0.315,0.32
1,0.5408163265306123,1,0.15,1,1,-5.092301240901061,0.215,-5.312755646410428,0.184,0.00020014,0.355,0.354
1,0.5816326530612245,1,0.15,1,1,-5.034387603209878,0.1875,-5.237962964459915,0.161,0.00020014,0.405,0.403
1,0.6224489795918368,1,0.15,1,1,-4.96666607785774,0.175,-5.155472482736188,0.147,0.00020014,0.4325,0.447
1,0.6632653061224489,1,0.15,1,1,-4.8960376045678915,0.1625,-5.067780372457417,0.131,0.00020014,0.485,0.482
1,0.7040816326530612,1,0.15,1,1,-4.828415884639473,0.135,-4.9817493504379495,0.117,0.00020014,0.5225,0.53
1,0.7448979591836735,1,0.15,1,1,-4.755251493494943,0.115,-4.893938066697877,0.099,0.00020014,0.575,0.574
1,0.7857142857142857,1,0.15,1,1,-4.6939786525151845,0.095,-4.823490409113358,0.084,0.00020014,0.635,0.616
1,0.8265306122448979,1,0.15,1,1,-4.625900667530742,0.09,-4.748535015016772,0.067,0.00020014,0.67,0.663
1,0.8673469387755102,1,0.15,1,1,-4.553718830133538,0.075,-4.669732096087813,0.061,0.00020014,0.7125,0.692
1,0.9081632653061225,1,0.15,1,1,-4.478570338841003,0.0725,-4.589661128783765,0.052,0.00020014,0.75,0.725
1,0.9489795918367346,1,0.15,1,1,-4.401864699951993,0.0575,-4.507089118357499,0.046,0.00020014,0.7775,0.747
1,0.9897959183673469,1,0.15,1,1,-4.325580278893684,0.0525,-4.425077503406561,0.037,0.00020014,0.7875,0.787
1,1.030612244897959,1,0.15,1,1,-4.2507327073140155,0.0475,-4.3424761540483106,0.03,0.00020014,0.8075,0.813
1,1.0714285714285714,1,0.15,1,1,-4.1744617610304,0.04,-4.258716268598744,0.021,0.00020014,0.8375,0.842
