seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
40,0.0001,40,0.1,1,1,-0.8436363140203098,1.0,-0.8709214295612883,1.0,0.002635094,0.0,0.0
40,0.00021544346900318845,40,0.1,1,1,-0.8436363140293284,1.0,-0.8709214295305552,1.0,0.002635094,0.0,0.0
40,0.00046415888336127773,40,0.1,1,1,-0.843636314021435,1.0,-0.8709214295226847,1.0,0.002635094,0.0,0.0
40,0.001,40,0.1,1,1,-0.8436363140543726,1.0,-0.8709214295511196,1.0,0.002635094,0.0,0.0
40,0.002154434690031882,40,0.1,1,1,-0.8436363140279446,0.995,-0.8709214295096462,1.0,0.002635094,0.0,0.0
40,0.004641588833612777,40,0.1,1,1,-0.8436363139920059,0.995,-0.8709214295344412,1.0,0.002635094,0.0,0.0
40,0.01,40,0.1,1,1,-0.8467556141633164,0.995,-0.8681201776291173,1.0,0.002635094,0.0,0.0
40,0.021544346900318822,40,0.1,1,1,-0.8349770573111625,1.0,-0.8650917034606423,0.998,0.002635094,0.0,0.0
40,0.046415888336127774,40,0.1,1,1,-0.8196717577101257,1.0,-0.8685103452860687,0.99,0.002635094,0.0,0.0
40,0.1,40,0.1,1,1,-0.8248843647437779,0.995,-0.8638034836224009,0.988,0.002635094,0.0,0.0
40,0.11,40,0.1,1,1,-0.8250362792193506,0.995,-0.8635857885113732,0.988,0.002635094,0.0,0.0
40,0.14708333333333334,40,0.1,1,1,-0.8315195982061696,0.995,-0.8611114398382054,0.976,0.002635094,0.0,0.0
40,0.18416666666666667,40,0.1,1,1,-0.8335372441350428,0.98,-0.8601176612900142,0.968,0.002635094,0.0,0.0
40,0.22125,40,0.1,1,1,-0.8286131567070525,0.97,-0.855864579622045,0.948,0.002635094,0.0,0.0
40,0.25833333333333336,40,0.1,1,1,-0.8284307505357298,0.955,-0.8554608197816941,0.924,0.002635094,0.0,0.0
40,0.29541666666666666,40,0.1,1,1,-0.8285230292631579,0.92,-0.8550516996210575,0.906,0.002635094,0.0,0.0
