,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
34,0,1.0,0,0.15,0.75,1,-0.9533801364978116,0.06,-0.927591449068038,0.054,0.003848476,0.0,0.0
36,10,1.1487179487179489,10,0.1,1.0,1,-0.9111644362020788,0.045,-0.945682245625412,0.032,0.003655745,0.0,0.0
34,20,1.0,20,0.1,1.0,1,-1.036109639538933,0.06,-0.8658616400902911,0.1,0.002628044,0.0,0.0
37,30,1.1974358974358976,30,0.15,1.5,1,-0.9377611050176486,0.05,-0.898003185368486,0.034,0.002257373,0.0,0.0
41,40,1.3923076923076925,40,0.35,0.75,1,-0.9203082113234886,0.055,-0.9150133350106596,0.072,0.003049338,0.0,0.0
36,50,1.1487179487179489,50,0.2,0.75,1,-0.9415903448336124,0.05,-0.9119022440444832,0.034,0.002541484,0.0,0.0
39,60,1.294871794871795,60,0.25,1.0,1,-0.9624181940526496,0.045,-0.8660006479051561,0.066,0.002413093,0.0,0.0
35,70,1.1,70,0.1,1.0,1,-0.901675841440036,0.06,-0.855746410725626,0.056,0.002757845,0.0,0.0
35,80,1.1,80,0.05,0.75,1,-0.8836492137844684,0.055,-0.9042907925310812,0.028,0.003169636,0.0,0.0
38,90,1.2461538461538462,90,0.15,1.0,1,-0.9027651024120916,0.045,-0.8954045838948617,0.05,0.002621834,0.0,0.0
