,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
34,0,1.0,0,0.2,0.5,1,-0.9631303626784684,0.11,-0.9079010860040806,0.118,0.002895205,0.0,0.0
33,10,0.9629166666666668,10,0.05,0.75,1,-0.8278637548981536,0.11,-0.9087913277249634,0.08,0.003306066,0.0,0.0
31,20,0.88875,20,0.05,0.75,1,-1.0638448973155683,0.11,-0.8258839115129972,0.186,0.002837585,0.0,0.0
35,30,1.1,30,0.15,1.5,1,-0.9406467735772196,0.105,-0.8984833024064112,0.08,0.002257373,0.0,0.0
38,40,1.2461538461538462,40,0.35,0.75,1,-0.9187048551763718,0.095,-0.9156676386001288,0.092,0.003049338,0.0,0.0
37,50,1.1974358974358976,50,0.25,1.2,1,-0.9370458798659186,0.1,-0.9151431893949868,0.094,0.002556983,0.0,0.0
36,60,1.1487179487179489,60,0.25,1.0,1,-0.963020920036816,0.1,-0.8661359700668931,0.134,0.002413093,0.0,0.0
34,70,1.0,70,0.1,1.0,1,-0.9092835863675351,0.095,-0.8624446926523495,0.084,0.002757845,0.0,0.0
34,80,1.0,80,0.05,0.75,1,-0.8830284481064177,0.1,-0.9042014931272006,0.072,0.003169636,0.0,0.0
35,90,1.1,90,0.15,1.0,1,-0.9023152054450227,0.105,-0.8977630958841125,0.126,0.002621834,0.0,0.0
